latitude,longitude
-10.2557,-69.0803
-10.2499,-69.0779
-10.2390,-69.0789
-10.2336,-69.0766
-10.2296,-69.0694
-10.2120,-69.0514
-10.2060,-69.0497
-10.1962,-69.0500
-10.1837,-69.0453
-10.1834,-69.0398
-10.1788,-69.0338
-10.1820,-69.0270
-10.1523,-69.0108
-10.1412,-69.0103
-10.1405,-69.0045
-10.1336,-69.0018
-10.1283,-68.9950
-10.1212,-68.9945
-10.1161,-68.9788
-10.1094,-68.9679
-10.0972,-68.9342
-10.0928,-68.9262
-10.0845,-68.9170
-10.0808,-68.9182
-10.0798,-68.9228
-10.0720,-68.9320
-10.0721,-68.9201
-10.0679,-68.9114
-10.0503,-68.9037
-10.0426,-68.9025
-10.0317,-68.9032
-10.0192,-68.8891
-10.0086,-68.8819
-10.0035,-68.8723
-9.9896,-68.8644
-9.9879,-68.8612
-9.9965,-68.8580
-9.9988,-68.8528
-9.9956,-68.8500
-9.9864,-68.8492
-9.9837,-68.8462
-9.9854,-68.8206
-9.9800,-68.8119
-9.9816,-68.8033
-9.9744,-68.7984
-9.9705,-68.7759
-9.9704,-68.7653
-9.9612,-68.7615
-9.9545,-68.7632
-9.9499,-68.7614
-9.9333,-68.7471
-9.9266,-68.7468
-9.9193,-68.7443
-9.9127,-68.7479
-9.9087,-68.7448
-9.9060,-68.7368
-9.9086,-68.7322
-9.9088,-68.7242
-9.9115,-68.7175
-9.9079,-68.7153
-9.9037,-68.7158
-9.8993,-68.7061
-9.8929,-68.7028
-9.8949,-68.6937
-9.8936,-68.6897
-9.8896,-68.6865
-9.8883,-68.6767
-9.8895,-68.6720
-9.8821,-68.6748
-9.8788,-68.6739
-9.8767,-68.6594
-9.8703,-68.6480
-9.8595,-68.6437
-9.8475,-68.6523
-9.8390,-68.6534
-9.8218,-68.6488
-9.8166,-68.6489
-9.8134,-68.6510
-9.8078,-68.6593
-9.7945,-68.6703
-9.7823,-68.6678
-9.7756,-68.6698
-9.7717,-68.6745
-9.7612,-68.6754
-9.7625,-68.6833
-9.7570,-68.6912
-9.7479,-68.6796
-9.7411,-68.6763
-9.7329,-68.6749
-9.7112,-68.6787
-9.7112,-68.6803
-9.7083,-68.6817
-9.6998,-68.6832
-9.6956,-68.6881
-9.6864,-68.6823
-9.6729,-68.6820
-9.6665,-68.6769
-9.6615,-68.6757
-9.6574,-68.6756
-9.6511,-68.6799
-9.6437,-68.6770
-9.6381,-68.6780
