longitude,latitude
-52.107077,-27.343339
-52.097991,-27.348374
-52.089295,-27.345604
-52.073117,-27.338314
-52.048875,-27.345818
-52.038853,-27.344908
-52.018265,-27.331718
-52.009252,-27.334334
-52.008738,-27.343346
-52.022446,-27.35505
-52.019821,-27.362624
-52.009631,-27.371889
-51.99684,-27.378312
-51.993048,-27.378393
-51.985722,-27.374632
-51.961935,-27.374716
-51.951006,-27.381297
-51.949852,-27.392256
-51.954455,-27.394914
-51.991889,-27.390264
-52.000202,-27.392673
-52.008573,-27.400516
-52.002212,-27.40836
-51.974575,-27.410418
-51.9559,-27.414811
-51.937457,-27.427001
-51.932984,-27.43444
-51.935944,-27.441858
-51.962624,-27.462018
-51.962679,-27.470421
-51.952276,-27.47486
-51.933101,-27.466585
-51.928087,-27.463181
-51.911869,-27.458506
-51.900975,-27.463168
-51.900087,-27.465149
-51.902389,-27.495989
-51.897967,-27.506405
-51.893552,-27.516804
-51.88938,-27.520579
-51.879754,-27.520956
-51.873243,-27.513499
-51.880161,-27.494496
-51.878084,-27.485006
-51.867129,-27.476692
-51.857729,-27.475559
-51.844171,-27.481385
-51.842724,-27.486107
-51.853891,-27.513983
-51.854513,-27.518584
-51.849024,-27.525497
-51.843208,-27.525448
-51.836914,-27.522346
-51.829295,-27.514768
-51.82213,-27.512767
-51.797119,-27.530552
-51.78592,-27.528159
-51.790198,-27.515192
-51.802298,-27.504364
-51.802917,-27.499469
-51.798621,-27.490997
-51.78292,-27.4918
-51.753446,-27.487412
-51.749675,-27.489932
-51.742692,-27.497715
-51.725207,-27.513992
-51.716956,-27.510865
-51.715275,-27.504041
-51.706895,-27.485148
-51.699824,-27.479476
-51.692656,-27.478185
-51.684485,-27.47945
-51.677654,-27.483191
-51.672554,-27.492974
-51.676619,-27.506689
-51.669728,-27.514647
-51.658995,-27.519602
-51.65126,-27.519807
-51.646289,-27.513112
-51.642632,-27.491895
-51.632221,-27.488864
-51.622683,-27.494114
-51.619684,-27.500737
-51.631448,-27.531577
